"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"210",198.25,12.55,198.15,198.35,12.45,198.35,0.0614363663933343
"211",198.25,12.6,198.15,198.35,12.5,198.35,0.061581767992013
"212",198.35,12.55,198.25,198.45,12.45,198.45,0.0618120715436008
"213",198.4,12.525,198.3,198.5,12.425,198.5,0.0628653678297997
"214",198.4,12.525,198.3,198.5,12.425,198.5,0.0628653678297997
"215",198.575,12.525,198.475,198.675,12.425,198.675,0.067242111514012
"216",198.625,12.525,198.525,198.725,12.425,198.725,0.0685036485393842
"217",198.625,12.525,198.525,198.725,12.425,198.725,0.0685036485393842
"218",198.425,12.6,198.325,198.525,12.5,198.525,0.0648757968511846
"219",198.325,12.7,198.225,198.425,12.6,198.425,0.065607693253292
"220",198.325,12.7,198.225,198.425,12.6,198.425,0.065607693253292
"221",198.1,12.825,198,198.2,12.725,198.2,0.0491952358020677
"222",197.7,13.5,197.6,197.8,13.4,197.8,0.0490998014186819
"223",197.6,13.625,197.5,197.7,13.525,197.7,0.047351518438922
"224",197.6,13.625,197.5,197.7,13.525,197.7,0.047351518438922
"225",197.575,13.675,197.475,197.675,13.575,197.675,0.0477269608527422
"226",197.5,13.775,197.4,197.6,13.675,197.6,0.0494858307143052
"227",197.4,13.925,197.3,197.5,13.825,197.5,0.0499654146532218
"228",196.625,12.15,196.525,196.725,12.05,196.725,0.0558365895102421
"229",196.625,12.15,196.525,196.725,12.05,196.725,0.0558365895102421
"230",197.2,14,197.1,197.3,13.9,197.3,0.0475346238041917
"231",197.1,14.025,197,197.2,13.925,197.2,0.0470191638916731
"232",196.95,14.05,196.85,197.05,13.95,197.05,0.046051074957682
"233",196.95,14.05,196.85,197.05,13.95,197.05,0.046051074957682
"234",196.9,14.05,196.8,197,13.95,197,0.0460317458957434
"235",197,14.075,196.9,197.1,13.975,197.1,0.0462814546707604
"236",197.1,14.1,197,197.2,14,197.2,0.0468235173159175
"237",197.3,14.125,197.2,197.4,14.025,197.4,0.0469496687874198
"238",197.375,14.175,197.275,197.475,14.075,197.475,0.0470572514459491
"239",197.375,14.175,197.275,197.475,14.075,197.475,0.0470572514459491
"240",197.45,14.15,197.35,197.55,14.05,197.55,0.0475111577659845
"241",197.55,14.075,197.45,197.65,13.975,197.65,0.0481206321467956
"242",197.8,13.925,197.7,197.9,13.825,197.9,0.0492337504401803
"243",197.8,13.925,197.7,197.9,13.825,197.9,0.0492337504401803
"244",197.85,14.1,197.75,197.95,14,197.95,0.0486813862290647
"245",197.6,13.925,197.5,197.7,13.825,197.7,0.0498574732078446
"246",197.5,13.85,197.4,197.6,13.75,197.6,0.04991706336538
"247",197.4,13.725,197.3,197.5,13.625,197.5,0.0490919837107261
"248",197.4,13.7,197.3,197.5,13.6,197.5,0.0490919837107261
"249",197.375,13.725,197.275,197.475,13.625,197.475,0.0491036594741874
"250",197.375,13.675,197.275,197.475,13.575,197.475,0.0487401451294621
"251",197.575,13.275,197.475,197.675,13.175,197.675,0.0496959768235683
"252",197.7,12.875,197.6,197.8,12.775,197.8,0.0492431483128005
"253",197.725,12.675,197.625,197.825,12.575,197.825,0.0515845598032077
"254",197.675,12.475,197.575,197.775,12.375,197.775,0.0523021306014723
"255",197.625,12.4,197.525,197.725,12.3,197.725,0.0522957235574722
"256",197.55,12.475,197.45,197.65,12.375,197.65,0.052380004276832
"257",197.5,12.5,197.4,197.6,12.4,197.6,0.0520693455926246
"258",197.4,12.575,197.3,197.5,12.475,197.5,0.0520917211969694
"259",196.6,14.225,196.5,196.7,14.125,196.7,0.0471164429974225
"260",196.575,14.2,196.475,196.675,14.1,196.675,0.0471164429974225
"261",196.575,14.175,196.475,196.675,14.075,196.675,0.0469664936471317
"262",196.575,14.175,196.475,196.675,14.075,196.675,0.0469664936471317
"263",196.825,14.275,196.725,196.925,14.175,196.925,0.0459345977753401
"264",197,14.325,196.9,197.1,14.225,197.1,0.0481265507017573
"265",197,14.325,196.9,197.1,14.225,197.1,0.0481265507017573
"266",197.225,14.375,197.125,197.325,14.275,197.325,0.0495796982819835
"267",197.225,14.375,197.125,197.325,14.275,197.325,0.0495796982819835
"268",197.375,14.4,197.275,197.475,14.3,197.475,0.050423222904404
"269",197.6,14.475,197.5,197.7,14.375,197.7,0.0485171369380421
"270",197.7,14.55,197.6,197.8,14.45,197.8,0.0475545342390736
"271",197.85,14.55,197.75,197.95,14.45,197.95,0.0478766834777263
"272",197.875,14.55,197.775,197.975,14.45,197.975,0.0480359071451757
"273",197.95,14.575,197.85,198.05,14.475,198.05,0.0490892010016574
"274",198.125,14.625,198.025,198.225,14.525,198.225,0.0507316472422746
"275",198.25,14.65,198.15,198.35,14.55,198.35,0.0503833699971437
"276",198.375,14.7,198.275,198.475,14.6,198.475,0.049399114627805
"277",198.375,14.7,198.275,198.475,14.6,198.475,0.049399114627805
"278",198.425,14.75,198.325,198.525,14.65,198.525,0.0492619973503881
"279",198.55,14.825,198.45,198.65,14.725,198.65,0.0504521322954032
"280",198.725,14.925,198.625,198.825,14.825,198.825,0.0503806429397729
"281",198.9,15.05,198.8,199,14.95,199,0.0515298017611106
"282",198.925,15.075,198.825,199.025,14.975,199.025,0.0511738900095224
"283",199.1,15.1,199,199.2,15,199.2,0.0519056487828493
"284",199.15,15.075,199.05,199.25,14.975,199.25,0.0515587733437618
"285",199.175,15.1,199.075,199.275,15,199.275,0.05138175158451
"286",199.425,15.275,199.325,199.525,15.175,199.525,0.0533774538586537
"287",199.675,15.55,199.575,199.775,15.45,199.775,0.0536750971029202
"288",199.975,15.8,199.875,200.075,15.7,200.075,0.0562909733917978
"289",199.975,15.8,199.875,200.075,15.7,200.075,0.0562909733917978
"290",200.05,15.775,199.95,200.15,15.675,200.15,0.0564820318172375
"291",200.2,15.7,200.1,200.3,15.6,200.3,0.0575112057849765
"292",200.3,15.7,200.2,200.4,15.6,200.4,0.0573393136469854
"293",200.475,15.7,200.375,200.575,15.6,200.575,0.0564418994925088
"294",200.575,15.725,200.475,200.675,15.625,200.675,0.0573212361584107
"295",200.575,15.725,200.475,200.675,15.625,200.675,0.0573212361584107
"296",200.7,15.65,200.6,200.8,15.55,200.8,0.0570788867771626
"297",200.9,15.55,200.8,201,15.45,201,0.0583018427093824
"298",200.95,15.525,200.85,201.05,15.425,201.05,0.0586363499363263
"299",201,15.525,200.9,201.1,15.425,201.1,0.0592001810669899
"300",201.125,15.525,201.025,201.225,15.425,201.225,0.0613711034258207
"301",201.175,15.55,201.075,201.275,15.45,201.275,0.0622515693927805
"302",201.175,15.55,201.075,201.275,15.45,201.275,0.0622515693927805
"303",201.15,15.575,201.05,201.25,15.475,201.25,0.0620111578454574
"304",201.125,15.625,201.025,201.225,15.525,201.225,0.0615216582599613
"305",201,15.725,200.9,201.1,15.625,201.1,0.0598354158509109
"306",200.925,15.85,200.825,201.025,15.75,201.025,0.0607572414187921
"307",200.825,15.85,200.725,200.925,15.75,200.925,0.0605871985769934
"308",200.75,15.9,200.65,200.85,15.8,200.85,0.0606545037279526
"309",200.75,15.9,200.65,200.85,15.8,200.85,0.0606545037279526
"310",200.575,15.95,200.475,200.675,15.85,200.675,0.0603322935187154
"311",200.425,16,200.325,200.525,15.9,200.525,0.0607116988135709
"312",200.35,16.025,200.25,200.45,15.925,200.45,0.0594160427649816
"313",200.325,16.025,200.225,200.425,15.925,200.425,0.0594160427649816
"314",200.3,16,200.2,200.4,15.9,200.4,0.0589902441327771
"315",200.375,16.075,200.275,200.475,15.975,200.475,0.060022137231297
"316",200.425,16.125,200.325,200.525,16.025,200.525,0.0606013636829125
"317",200.5,16.175,200.4,200.6,16.075,200.6,0.061867280345824
"318",200.5,16.225,200.4,200.6,16.125,200.6,0.0622317212530308
"319",200.5,16.225,200.4,200.6,16.125,200.6,0.0622317212530308
"320",200.575,16.25,200.475,200.675,16.15,200.675,0.0631297810210122
"321",200.6,16.275,200.5,200.7,16.175,200.7,0.0628941179563602
"322",200.625,16.3,200.525,200.725,16.2,200.725,0.0629255670226282
"323",200.625,16.3,200.525,200.725,16.2,200.725,0.0629255670226282
"324",200.675,16.3,200.575,200.775,16.2,200.775,0.0634158234008484
"325",200.625,16.325,200.525,200.725,16.225,200.725,0.0622430497573482
"326",200.6,16.325,200.5,200.7,16.225,200.7,0.0621599873734845
"327",200.575,16.3,200.475,200.675,16.2,200.675,0.062677583243284
"328",200.575,16.3,200.475,200.675,16.2,200.675,0.062677583243284
"329",200.575,16.3,200.475,200.675,16.2,200.675,0.062677583243284
"330",200.55,16.275,200.45,200.65,16.175,200.65,0.0625899357100328
"331",200.5,16.225,200.4,200.6,16.125,200.6,0.0622317212530308
"332",200.45,16.175,200.35,200.55,16.075,200.55,0.0616673992739783
"333",200.375,16.15,200.275,200.475,16.05,200.475,0.060652498776714
"334",200.3,16.125,200.2,200.4,16.025,200.4,0.0596778961933321
"335",200.2,16.125,200.1,200.3,16.025,200.3,0.0586547017511394
"336",200.1,16.125,200,200.2,16.025,200.2,0.057771865485443
"337",200.075,16.175,199.975,200.175,16.075,200.175,0.0584407528448436
"338",200.05,16.05,199.95,200.15,15.95,200.15,0.0566470349828402
"339",200.05,16,199.95,200.15,15.9,200.15,0.0561831547982163
"340",200.05,16,199.95,200.15,15.9,200.15,0.0561831547982163
"341",200.125,16,200.025,200.225,15.9,200.225,0.0565613294020295
"342",200.25,15.95,200.15,200.35,15.85,200.35,0.0580953343047036
"343",200.3,15.925,200.2,200.4,15.825,200.4,0.0586830084729526
"344",200.3,15.925,200.2,200.4,15.825,200.4,0.0586830084729526
"345",200.475,15.85,200.375,200.575,15.75,200.575,0.0587477018642757
"346",200.65,15.8,200.55,200.75,15.7,200.75,0.0591603312641382
"347",200.65,15.8,200.55,200.75,15.7,200.75,0.0591603312641382
"348",200.45,15.9,200.35,200.55,15.8,200.55,0.0598794807990392
"349",200.375,15.95,200.275,200.475,15.85,200.475,0.0599644106502334
"350",200.3,16,200.2,200.4,15.9,200.4,0.0589902441327771
"351",200.025,16.2,199.925,200.125,16.1,200.125,0.0583174684395393
"352",199.875,16.3,199.775,199.975,16.2,199.975,0.0586996073317197
"353",199.95,16.225,199.85,200.05,16.125,200.05,0.0578080897943841
"354",199.95,16.2,199.85,200.05,16.1,200.05,0.0578080897943841
"355",199.975,16.2,199.875,200.075,16.1,200.075,0.0578080897943841
"356",200,16.175,199.9,200.1,16.075,200.1,0.0608086447334952
"357",199.925,16.2,199.825,200.025,16.1,200.025,0.0615560205446349
"358",199.9,16.225,199.8,200,16.125,200,0.06174106746912
